e52,e23,x38,xv38,vinqi
DIAGNOSTICS,diagnostics,diagnostiks,,निदान शास्त्र
DIAGONAL,diagonal,diagonal,,कर्णरेखा
DIAGONALLY,diagonally,diagonally,,तिरछा
DIAGRAM,diagram,diagram,,आकृतिय़ा
DIAGRAMMATIC,diagrammatic,diagrammatik,,आरेखी
DIAGRAMMATICALLY,diagrammatically,diagrammatikally,,आकृति द्वारा
DIAL,dial,dial,,अंकपट्ट
DIALECT,dialect,dialekt,,उपभाषा
DIALECTAL,dialectal,dialektal,,बोलीगत
DIALECTIC,dialectic,dialektik,,तर्कशास्तेअ
DIALECTICS,dialectics,dialektiks,,तर्कशास्तेअ
DIALOGUE,dialogue,dialogue,,बातचीत
DIALYSIS,dialysis,dialysis,,अपोहन
DIAMANTIFEROUS,diamantiferous,diamantifxrous,,हीरा   उत्पादक
DIAMETER,diameter,diametxr,,गुणा
DIAMETRICALLY,diametrically,diametrikally,,पूर्ण रूप से
DIAMOND,diamond,diamond,,ईंट का पत्ता
DIAMONDS,diamonds,diamonds,,हीरे का आभूषण
DIAPAUSE,diapause,diapause,,उपरति
DIAPER,diaper,diapxr,,कामदानी
DIAPHORESIS,diaphoresis,diaphoresis,,पसीना
DIAPHRAGM,diaphragm,diaphragm,,गर्भ निरोधक टोपी
DIARCHY,diarchy,diarcy,,द्वैध शासन
DIARIST,diarist,diarist,,डायरी लेखक
DIARRHEA,diarrhea,diarrhea,,दस्त
DIARRHOEA,diarrhoea,diarrhoea,,अतिसार
DIARY,diary,diary,,डायरी
DIASTOLE,diastole,diastole,,अनुशिथिलन
DIASTOLIC,diastolic,diastolik,,अनुशिथिलक
DIATRIBE,diatribe,diatribe,,कठोर समालोचना
DICE,dice,dise,,उल्टा पासा चलाना
DICEY,dicey,disey,,खतरनाक
DICHOTOMY,dichotomy,dicotomy,,किसी दो भिन्न पदार्थ या समूह के विभाग
DICHROMACY,dichromacy,dicromasi,,द्विवर्णता
DICHROMASY,dichromasy,dicromasy,,द्विवर्णता
DICHROMATISM,dichromatism,dicromatism,,द्विवर्णता
DICHROMATOPSIA,dichromatopsia,dicromatopsia,,द्विवर्णता
DICHROMIA,dichromia,dicromia,,द्विवर्णता
DICK,dick,dik,,ज़रूरत से ज़ादा चालाक
DICKENSIAN,dickensian,dikensian,,डिकन्स के उपन्यासों जेसा
DICKEY,dickey,dikey,,कमीज़ के आगे लगाया जाने वाला ऊपरी वस्त्र
DICKIE,dickie,dikie,,कमीज़ के आगे लगाया जाने वाला ऊपरी वस्त्र
DICKY,dicky,diky,,कमीज़ के आगे लगाया जाने वाला ऊपरी वस्त्र
DICTACTED,dictacted,diktakted,,परिभाषित
DICTATE,dictate,diktate,,आज्ञा देना
DICTATION,dictation,diktation,,श्रुतलेखन गति
DICTATOR,dictator,diktator,,तानाशाह
DICTATORIAL,dictatorial,diktatorial,,अधिनायकीय
DICTATORIALLY,dictatorially,diktatorially,,तानाशाह की तरह
DICTATORSHIP,dictatorship,diktatorship,,तानाशाही
DICTION,diction,diktion,,उच्चारण योजना
DICTIONARY,dictionary,diktionary,,शब्दकोष
DICTUM,dictum,diktum,,आदेश
DID,did,did,,वाह्
DIDACTIC,didactic,didaktik,,उपदेशक
DIDACTICALLY,didactically,didaktikally,,शिक्षात्मक रूप से
DIDDLE,diddle,diddle,,धोखा देना
DIE,die,die,,खत्म होना
DIERVILLA,dierwilla,dixrwilla,,पीले फूलों वाला एक पौधा
DIESEL,diesel,diesel,,डीज़ल
DIET,diet,diet,,अल्प खुराक लेना
DIETER,dieter,dietxr,,मिताहारी
DIETETIC,dietetic,dietetik,,आहार संबंधी
DIETETICS,dietetics,dietetiks,,आहार विज्ञान
DIETHYLAMIDE,diethylamide,diethylamide,,लाइसर्गिक एसिड डाइथाइलमाइड
DIETICIAN,dietician,dietisian,,आहार विशेषज्ञ
DIETITIAN,dietitian,dietitian,,आहार विशेषज्ञ
DIFFALAT,diffalat,diffalat,,ख़राब
DIFFER,differ,diffxr,,एकमत न होना
DIFFERENCE,difference,diffxrense,,असमानता
DIFFERENT,different,diffxrent,,अलग अलग
DIFFERENTIAL,differential,diffxrential,,अंतर संबन्धी
DIFFERENTIATE,differentiate,diffxrentiate,,अंतर करना
DIFFERENTIATION,differentiation,diffxrentiation,,अवकलन
DIFFERENTLY,differently,diffxrently,,अलग प्रकार से
DIFFICULT,difficult,diffikult,,कठिन
DIFFICULTY,difficulty,diffikulty,,अड़चन
DIFFIDENCE,diffidence,diffidense,,संकोच
DIFFIDENT,diffident,diffident,,अविश्वस्त
DIFFIDENTLY,diffidently,diffidently,,संकोचपूर्वक
DIFFUSE,diffuse,diffuse,,फैला हुआ
DIFFUSED,diffused,diffused,,बिखरा हुआ
DIFFUSING,diffusing,diffusing,,फैला हुआ
DIFFUSION,diffusion,diffusion,,फैलाव
DIFFUSIVE,diffusiwe,diffusiwe,,फैला हुआ
DIG,dig,dig,,आवास
DIGAVATION,digawation,digawation,,भटकाव
DIGEST,digest,digest,,आत्मसात् करना
DIGESTIBLE,digestible,digestible,,सुपाच्य
DIGESTION,digestion,digestion,,पचाव
DIGGER,digger,diggxr,,खनक
DIGIT,digit,digit,,अंक
DIGITAL,digital,digital,,अंकीय
DIGITALISE,digitalise,digitalise,,अंकीकरण करना
DIGITALISED,digitalised,digitalised,,अंकीकृत
DIGITALIZE,digitalize,digitalize,,अंकीकरण करना
DIGITALIZED,digitalized,digitalized,,अंकीकृत
DIGITISE,digitise,digitise,,अंकीकरण करना
DIGITISED,digitised,digitised,,अंकीकृत
DIGITIZE,digitize,digitize,,अंकीकरण करना
DIGITIZED,digitized,digitized,,अंकीकृत
DIGLOT,diglot,diglot,,द्विभाषी
DIGNIFIED,dignified,dignified,,गौरवशाली
DIGNIFY,dignify,dignify,,प्रतिष्ठित दिखाई देना
DIGNITARY,dignitary,dignitary,,उच्च पदवी वाला
DIGNITY,dignity,dignity,,गरिमा
DIGRESS,digress,digress,,विषय से भटक जाना
DIGRESSION,digression,digression,,भटकाव
DIGRESSIVE,digressiwe,digressiwe,,अप्रासंगिक
DIGS,digs,digs,,किराये का मकान
DIKA,dika,dika,,डीका
DIKE,dike,dike,,खंदक
DILAPIDATED,dilapidated,dilapidated,,टूटा फूटा
DILAPIDATION,dilapidation,dilapidation,,जीर्णता
DILATE,dilate,dilate,,फैल जाना
DILATION,dilation,dilation,,फैलाव
DILATORY,dilatory,dilatory,,कार्य करने में सुस्ती
DILDO,dildo,dildo,,शिश्न का प्रतिरूप
DILEMMA,dilemma,dilemma,,असमंजस
DILIGENCE,diligence,diligense,,कर्मठता
DILIGENT,diligent,diligent,,अनवरत
DILIGENTLY,diligently,diligently,,मेहनत से
DILL,dill,dill,,सोआ
DILLYDALLY,dillydally,dillydally,,हिचकिचाना
DILUENT,diluent,diluent,,पतला करने वाला पदार्थ
DILUTANT,dilutant,dilutant,,पतला करने वाला पदार्थ
DILUTE,dilute,dilute,,कमज़ोर करना
DILUTED,diluted,diluted,,पतला किया हुआ
DILUTION,dilution,dilution,,जल मिश्रण
DIM,dim,dim,,अंदकारमय
DIME,dime,dime,,अमरीकी डॉलर के दसवें मूल्य के बराबर सिक्का
DIMENSION,dimension,dimension,,आयाम
DIMENSIONAL,dimensional,dimensional,,विमितीय
DIMENSIONLESS,dimensionless,dimensionless,,निरायाम
DIMENSIONS,dimensions,dimensions,,आकार प्रकार
DIMINISH,diminish,diminish,,कम करना
DIMINISHED,diminished,diminished,,कम
DIMINUTION,diminution,diminution,,अल्पीकरण
DIMINUTIVE,diminutiwe,diminutiwe,,अति छोटा
DIMINUTIVENESS,diminutiweness,diminutiweness,,बारीकी
DIMLY,dimly,dimly,,अस्पष्टतः
DIMMER,dimmer,dimmxr,,मंदक
DIMPLE,dimple,dimple,,गढ्ढा
DIMPLED,dimpled,dimpled,,गड्ढेदार
DIMWIT,dimwit,dimwit,,मूर्ख्
DIN,din,din,,शोरगुल करना
DINAR,dinar,dinar,,डीनार
DINE,dine,dine,,भोजन करना
DINER,diner,dinxr,,ढाबा
DINGHY,dinghy,dinghy,,छोटी एवं खुली नाव
DINGINESS,dinginess,dinginess,,मलिनता
DINGY,dingy,dingy,,काला और गन्दा
DINKY,dinky,dinky,,छोटा सा
DINNER,dinner,dinnxr,,खाना
DINOSAUR,dinosaur,dinosaur,,डाइनोसर
DINT,dint,dint,,आघात
DIOCESAN,diocesan,diosesan,,धर्मप्रदेशीय
DIOCESE,diocese,diosese,,धर्मप्रदेश
DIONYSUS,dionysus,dionysus,,रंगीन मिजाजी देवता
DIORAMA,diorama,diorama,,चित्रावली
DIOXIDE,dioxide,dioxide,,कार्बन डाइऑक्साइड
DIOXIN,dioxin,dioxin,,डाइऑक्सिन
DIP,dip,dip,,उतार
DIPHONE,diphone,diphone,,दो अक्षरों का सम्मिलित रूप
DIPHTHERIA,diphtheria,diphthxria,,डिप्थीरिया
DIPHTHONG,diphthong,diphthong,,द्विस्वर
DIPLOMACY,diplomacy,diplomasi,,कूटनिती
DIPLOMAT,diplomat,diplomat,,कूटनीतिज्ञ
DIPLOMATIC,diplomatic,diplomatik,,कूटनीतिज्ञ
DIPLOMATICALLY,diplomatically,diplomatikally,,राजनयिक रूप से
DIPLOMATIST,diplomatist,diplomatist,,राजनयिक
DIPPER,dipper,dippxr,,सप्तर्षि
DIPSOMANIA,dipsomania,dipsomania,,मदिरोन्माद
DIPSOMANIAC,dipsomaniac,dipsomaniak,,पियक्कड़
DIPTERAN,dipteran,diptxran,,द्विपंखी कीट
DIPTERON,dipteron,diptxron,,द्विपंखी कीट
DIRE,dire,dire,,बेकार
DIRECT,direct,direkt,,आदेश देना
DIRECTION,direction,direktion,,आज्ञा
DIRECTIONAL,directional,direktional,,दिशात्मक
DIRECTIONS,directions,direktions,,रास्ता
DIRECTIVE,directiwe,direktiwe,,दिशासूचक
DIRECTLY,directly,direktly,,जल्दी
DIRECTNESS,directness,direktness,,सुस्पष्टवादिता
DIRECTOR,director,direktor,,अध्यक्ष
DIRECTORATE,directorate,direktorate,,निदेशालय
DIRECTORIAL,directorial,direktorial,,निदेश्कीय
DIRECTORSHIP,directorship,direktorship,,निदेशक पद
DIRECTORY,directory,direktory,,कंप्यूटर फोल्डर का दूसरा नाम
DIRETRIX,diretrix,diretrix,,नियता
DIRGE,dirge,dirge,,शोक गीत
DIRT,dirt,dirt,,कचरा
DIRTINESS,dirtiness,dirtiness,,गंदगी
DIRTY,dirty,dirty,,अश्लील
DIRTYING,dirtying,dirtying,,गंदा करना
DIS,dis,dis,,अपमानित करना
DISABIGUATION,disabiguation,disabiguation,,एक ही नाम के अनेक अर्थ
DISABILITY,disability,disability,,असामर्थ्यता
DISABLE,disable,disable,,अशक्त कर देना
DISABLED,disabled,disabled,,विकलांग
DISABLEMENT,disablement,disablement,,असक्ततता
DISABUSED,disabused,disabused,,भ्रम मुक्त
DISADVANTAGE,disadwantage,disadwantage,,नुकसान
DISADVANTAGED,disadwantaged,disadwantaged,,प्रतिकूल परिस्थितिग्रस्त
DISADVANTAGEOUS,disadwantageous,disadwantageous,,अहितकारी
DISADVANTAGEOUSLY,disadwantageously,disadwantageously,,अलाभकर ढंग से
DISADVANTAGES,disadwantages,disadwantages,,कमियाँ
DISAFFECTED,disaffected,disaffekted,,असंतुष्ट
DISAFFECTION,disaffection,disaffektion,,अनीष्ठा
DISAFFOREST,disafforest,disafforest,,वन अपरोपण करना
DISAGREE,disagree,disagree,,असहमत होना
DISAGREEABLE,disagreeable,disagreeable,,झगड़ालू
DISAGREEING,disagreeing,disagreeing,,असहमत
DISAGREEMENT,disagreement,disagreement,,असहमति
DISALLOW,disallow,disallow,,अस्वीकार कर देना
DISAMAYED,disamayed,disamayed,,हक्काबक्का
DISAMBIGUTION,disambigution,disambigution,,बहुविकल्पी
DISAPPEAR,disappear,disappear,,अंतर्लीन
DISAPPEARANCE,disappearance,disappearanse,,ओझल
DISAPPEARING,disappearing,disappearing,,ओझल होता
DISAPPOINT,disappoint,disappoint,,निराश करना
DISAPPOINTED,disappointed,disappointed,,दुख्ःई
DISAPPOINTING,disappointing,disappointing,,निराशाजनक
DISAPPOINTINGLY,disappointingly,disappointingly,,निराशाजनक ढंग से
DISAPPOINTMENT,disappointment,disappointment,,आशाभंग
DISAPPROBATION,disapprobation,disapprobation,,असम्मति
DISAPPROVAL,disapprowal,disapprowal,,असम्मति
DISAPPROVE,disapprowe,disapprowe,,अस्वीकार करना
DISAPPROVING,disapprowing,disapprowing,,पसंद करता हुआ
DISAPPROVINGLY,disapprowingly,disapprowingly,,नापसंदगी से
DISARM,disarm,disarm,,निरस्त्र कर देना
DISARMAMENT,disarmament,disarmament,,अशस्त्रीकरण
DISARMER,disarmer,disarmxr,,शांतिवादी
DISARMING,disarming,disarming,,शांत करने वाला
DISARMINGLY,disarmingly,disarmingly,,शांत करता हुआ
DISARRANGE,disarrange,disarrange,,अस्तव्यस्त कर देना
DISARRANGEMENT,disarrangement,disarrangement,,अव्यवस्था
DISARRAY,disarray,disarray,,उलट पलट
DISASSEMBLE,disassemble,disassemble,,खोलना
DISASSOCIATE,disassociate,disassosiate,,अलग अलग करके देखना
DISASSOCIATION,disassociation,disassosiation,,असाहचर्य
DISASTER,disaster,disastxr,,असफलता
DISASTROUS,disastrous,disastrous,,अभागा
DISASTROUSLY,disastrously,disastrously,,दुर्भाग्यपूर्ण ढंग से
DISAVOW,disawow,disawow,,अस्वीकार कर देना
DISBAND,disband,disband,,छिन्न भिन्न करना
DISBANDMENT,disbandment,disbandment,,विघटन
DISBAR,disbar,disbar,,बैरिस्टर को पदच्युत करना
DISBELIEF,disbelief,disbelief,,अविश्वास
DISBELIEVE,disbelixwx,disbelixwx,,अविश्वास करना
DISBELIEVER,disbelixwxr,disbelixwxr,,नास्तिक
DISBELIEVING,disbeliewing,disbeliiyuing,,अविश्वासपूर्ण
DISBELIEVINGLY,disbeliewingly,disbeliiyuingly,,अविश्वासपूर्ण ढंग से
DISBURSAL,disbursal,disbursal,,लागत
DISBURSE,disburse,disburse,,इकट्ठा किया हुआ धन से पैसे देना
DISBURSEMENT,disbursement,disbursement,,भुगतान
DISC,disc,disk,,कम्पैक्ट डिस्क
DISCARD,discard,diskard,,छाँटा गया व्यक्ति
DISCARDED,discarded,diskarded,,फेंका हुआ
DISCERN,discern,dissxrn,,किसी तरह देख सकना
DISCERNIBLE,discernible,dissxrnible,,समझने योग्य
DISCERNING,discerning,dissxrning,,कुशाग्रबुद्धि
DISCERNMENT,discernment,dissxrnment,,विवेक
DISCHARGE,discharge,discarge,,अदा करना
DISCHARGED,discharged,discarged,,खारिज
DISCIPLE,disciple,dissiple,,अनुयायी
DISCIPLINARIAN,disciplinarian,dissiplinarian,,अनुशासक
DISCIPLINARY,disciplinary,dissiplinary,,अनुशासन संबंधी
DISCIPLINE,discipline,dissipline,,अनुशासन
DISCLAIM,disclaim,disklaim,,अस्वीकार करना
DISCLAIMER,disclaimer,disklaimxr,,अस्वीक्रति
DISCLOSE,disclose,disklose,,खोलना
DISCLOSED,disclosed,disklosed,,अनावृत
DISCLOSURE,disclosure,disklosure,,प्रकटीकरण
DISCO,disco,disko,,डिस्को
DISCOLOR,discolor,diskolor,,फीका पड़ जाना
DISCOLORATION,discoloration,diskoloration,,धब्बा
DISCOLOUR,discolour,diskolour,,फीका पड़ जाना
DISCOLOURATION,discolouration,diskolouration,,धब्बा
DISCOLOURED,discoloured,diskoloured,,अवर्णीकृत
DISCOLUR,discolur,diskolur,,मलिन करना
DISCOMFIT,discomfit,diskomfit,,अशांत कर देना
DISCOMFITURE,discomfiture,diskomfiture,,व्याकुलता
DISCOMFORT,discomfort,diskomfort,,अशांति
DISCOMPOSE,discompose,diskompose,,अशांत कर देना
DISCOMPOSURE,discomposure,diskomposure,,व्याकुलता
DISCONCERT,disconcert,diskonsxrt,,अशांत कर देना
DISCONCERTING,disconcerting,diskonsxrting,,परेशान कर देने वाला
DISCONCERTINGLY,disconcertingly,diskonsxrtingly,,विक्षुब्ध करने के ढंग से
DISCONCERTION,disconcertion,diskonsxrtion,,व्याकुलता
DISCONCERTMENT,disconcertment,diskonsxrtment,,व्याकुलता
DISCONECT,disconect,diskonekt,,अलग करना
DISCONNECT,disconnect,diskonnekt,,अलग करना
DISCONNECTED,disconnected,diskonnekted,,असंगत
DISCONNECTION,disconnection,diskonnektion,,वियोजन
DISCONSOLATE,disconsolate,diskonsolate,,निराश
DISCONSOLATELY,disconsolately,diskonsolately,,निराशापूर्ण ढंग से
DISCONTENT,discontent,diskontent,,असंतोष
DISCONTENTED,discontented,diskontented,,असंतुष्ट
DISCONTENTEDLY,discontentedly,diskontentedly,,असंतुष्ट ढम्ग से
DISCONTENTMENT,discontentment,diskontentment,,असंतोष
DISCONTINUATION,discontinuation,diskontinuation,,असातत्य
DISCONTINUE,discontinue,diskontinue,,छुड़ाना
DISCONTINUITY,discontinuity,diskontinuity,,अंतराल
DISCONTINUOUS,discontinuous,diskontinuous,,असतत
DISCORD,discord,diskord,,असहमति
DISCORDANCE,discordance,diskordanse,,कर्कश ध्वनि
DISCORDANT,discordant,diskordant,,बेमेल
DISCORDANTLY,discordantly,diskordantly,,बेसुरे ढंग से
DISCOTHEQUE,discothekue,diskothekue,,डिस्को
DISCOUNT,discount,diskount,,कम करना
DISCOUNTER,discounter,diskountxr,,थोक व्यापार की दुकान
DISCOURAGE,discourage,diskourage,,निराश करना
DISCOURAGEMENT,discouragement,diskouragement,,उत्साहभंग
DISCOURAGING,discouraging,diskouraging,,निरुत्साहित करने वाला
DISCOURAGINGLY,discouragingly,diskouragingly,,निरुत्साहित करता हुआ
DISCOURSE,discourse,diskourse,,उपदेश
DISCOURSER,discourser,diskoursxr,,वक्ता
DISCOURTEOUS,discourteous,diskourteous,,अभद्र
DISCOURTEOUSLY,discourteously,diskourteously,,अभद्रतापूर्वक
DISCOURTESY,discourtesy,diskourtesy,,अभद्रता
DISCOVER,discower,diskowxr,,खोज निकालना
DISCOVERER,discowerer,diskowxrxr,,खोजकर्ता
DISCOVERY,discowery,diskowxry,,अन्वेशण
DISCREDIT,discredit,diskredit,,नहीं मानना
DISCREDITABLE,discreditable,diskreditable,,लज्जाजनक
DISCREET,discreet,diskreet,,न्याययसंगत
DISCREETLY,discreetly,diskreetly,,सावधानी से
DISCREETNESS,discreetness,diskreetness,,समझदारी
DISCREPANCY,discrepancy,diskrepansi,,अंतर
DISCRETE,discrete,diskrete,,अलग
DISCRETELY,discretely,diskretely,,अलग से
DISCRETENESS,discreteness,diskreteness,,पृथकता
DISCRETION,discretion,diskretion,,ईमानदारी
DISCRETIONARY,discretionary,diskretionary,,विवेकाधीन
DISCRIMINATE,discriminate,diskriminate,,अंतर करना
DISCRIMINATING,discriminating,diskriminating,,विवेकी
DISCRIMINATION,discrimination,diskrimination,,अंतर
DISCRIMINATORY,discriminatory,diskriminatory,,पक्षपाती
DISCRIMINATORYL,discriminatoryl,diskriminatoryl,,अधिमान्य
DISCURSIVE,discursiwe,diskursiwe,,असंबद्ध
DISCUS,discus,diskus,,चक्का फेंक प्रतियोगिता
DISCUSS,discuss,diskuss,,चर्चा करना
DISCUSSION,discussion,diskussion,,आलोचनाआ
DISDAIN,disdain,disdain,,अवहेलना करना
DISDAINFUL,disdainful,disdainful,,अवज्ञापूर्ण
DISDAINFULLY,disdainfully,disdainfully,,अवज्ञापूर्वक
DISEASE,disease,disease,,अस्थि संधि शोथअ
DISEASED,diseased,diseased,,रोग ग्रस्त
DISEMBARK,disembark,disembark,,उतरना
DISEMBARKATION,disembarkation,disembarkation,,अवरोहण
DISEMBODIED,disembodied,disembodied,,अदृश्य
DISENCHANTED,disenchanted,disencanted,,अमोहक
DISENCHANTMENT,disenchantment,disencantment,,मोह दूर होना
DISENFRANCHISED,disenfranchised,disenfrancised,,मताधिकारहीन
DISENGAGE,disengage,disengage,,अलग करना
DISENGAGEMENT,disengagement,disengagement,,छुटकारा
DISENTANGLE,disentangle,disentangle,,अलग करना
DISENTANGLED,disentangled,disentangled,,सुलझा हुआ
DISENTANGLEMENT,disentanglement,disentanglement,,सुलझाना
DISENTANGLER,disentangler,disentanglxr,,सुलझाने वाला
DISEQUILIBRIUM,disekuilibrium,disekuilibrium,,असंतुलन
DISFACE,disface,disfase,,विरूपित
DISFAVOUR,disfawour,disfawour,,अरुचि प्रकट करना
DISFIGURE,disfigure,disfigure,,बिगाड़्ना
DISFIGUREMENT,disfigurement,disfigurement,,विरूपण
DISFRANCHISED,disfranchised,disfrancised,,मताधिकारहीन
DISGORGE,disgorge,disgorge,,भारी मात्रा में बहाना
DISGORGEMENT,disgorgement,disgorgement,,उल्टी
DISGRACE,disgrace,disgrase,,अपमान करना
DISGRACED,disgraced,disgrased,,कलंकित
DISGRACEFUL,disgraceful,disgraseful,,लज्जाजनक
DISGRACEFULLY,disgracefully,disgrasefully,,लज्जाजनक ढंग से
DISGRUNTLE,disgruntle,disgruntle,,मूड खराब करना
DISGRUNTLED,disgruntled,disgruntled,,असंतुष्ट
DISGUISE,disguise,disguise,,छिपाना
DISGUISED,disguised,disguised,,प्रच्छन्न
DISGUST,disgust,disgust,,गुस्सा
DISGUSTED,disgusted,disgusted,,चिढ़ा हुआ
DISGUSTEDLY,disgustedly,disgustedly,,घृणापूर्वक
DISGUSTING,disgusting,disgusting,,खराब
DISGUSTINGLY,disgustingly,disgustingly,,घृणित रूप से
DISGUSTINGNESS,disgustingness,disgustingness,,अत्यधिक अरुचिकर अवस्था
DISH,dish,dish,,डिश
DISHARMONY,disharmony,disharmony,,असामंजस्यता
DISHCLOTH,dishcloth,dishkloth,,बर्तन माँजने का कपड़ा
DISHEARTEN,dishearten,dishearten,,मन तोड़ना
DISHEARTENED,disheartened,disheartened,,निराश
DISHEVEL,dishxwxl,dishxwxl,,अस्त व्यस्त कर देना
DISHEVELED,dishxwxled,dishxwxled,,अस्त व्यस्त
DISHEVELLED,dishxwxlled,dishxwxlled,,अस्त व्यस्त
DISHONEST,dishonest,dishonest,,कपटी
DISHONESTLY,dishonestly,dishonestly,,बेईमानी से
DISHONESTY,dishonesty,dishonesty,,बेईमानी
DISHONOR,dishonor,dishonor,,अवज्ञा करना
DISHONORABLE,dishonorable,dishonorable,,लज्जाजनक
DISHONORABLY,dishonorably,dishonorably,,निंदनीय ढंग से
DISHONOUR,dishonour,dishonour,,अपमान
DISHONOURABLE,dishonourable,dishonourable,,अनैतिक
DISHONOURABLY,dishonourably,dishonourably,,अपमान से
DISHRAG,dishrag,dishrag,,बर्तन माँजने का कपड़ा
DISHTOWEL,dishtowel,dishtowel,,चाय के बर्तन पोछने का छोटा तौलिया
DISHWARE,dishware,dishware,,भोजन पात्र
DISHWASHER,dishwasher,dishwashxr,,बर्तन धोनेवाला
DISILLUSION,disillusion,disillusion,,भ्रम दूर 
DISILLUSIONED,disillusioned,disillusioned,,निर्भ्रांत
DISILLUSIONMENT,disillusionment,disillusionment,,मोह भंग
DISINCLINATION,disinclination,disinklination,,अनिच्छा
DISINCLINED,disinclined,disinklined,,अनिच्छुक
DISINFECT,disinfect,disinfekt,,डिसइन्फ़ेक्ट करना
DISINFECTANT,disinfectant,disinfektant,,विसंक्रामक
DISINFECTION,disinfection,disinfektion,,विसंक्रमण
DISINGENUOUS,disingenuous,disingenuous,,कपटी
DISINHERIT,disinherit,disinhxrit,,जायदाद से बेदखल कर देना
DISINHERITED,disinherited,disinhxrited,,जायदाद से वंचित
DISINTEGRATE,disintegrate,disintegrate,,अलग अलग करना
DISINTEGRATION,disintegration,disintegration,,अवखंडन
DISINTERESTED,disinterested,disintxrested,,अस्पृह
DISJOINTED,diszointed,diszointed,,असंबद्ध
DISJOINTEDLY,diszointedly,diszointedly,,असंबद्ध ढंग से
DISK,disk,disk,,चकती
DISLIKE,dislike,dislike,,अरुचि
DISLIKED,disliked,disliked,,नापसंदिदा
DISLOCATE,dislocate,dislokate,,अव्यवस्थित कर देना
DISLOCATION,dislocation,dislokation,,अव्यवस्था
DISLODGE,dislodge,dislodge,,निकाक देना
DISLOYAL,disloyal,disloyal,,नमकहराम
DISLOYALTY,disloyalty,disloyalty,,निष्ठाहीनता
DISMAL,dismal,dismal,,खराब
DISMALLY,dismally,dismally,,निराशाजनक ढंग से
DISMANTLE,dismantle,dismantle,,टुकड़े टुकड़े करना
DISMANTLING,dismantling,dismantling,,विनष्टीकरण
DISMAY,dismay,dismay,,त्रस्त
DISMEMBER,dismember,dismembxr,,अंग भंग करना
DISMEMBERMENT,dismemberment,dismembxrment,,अंगच्छेदन
DISMISS,dismiss,dismiss,,अस्वीकार करना
DISMISSAL,dismissal,dismissal,,उपेक्षा करना
DISMISSED,dismissed,dismissed,,खारिज
DISMISSION,dismission,dismission,,पदच्युति
DISMISSIVE,dismissiwe,dismissiwe,,उपेक्षापूर्ण
DISMISSIVELY,dismissiwely,dismissiwely,,उपेक्षापूर्ण ढंग से
DISMOUNT,dismount,dismount,,उतरना
DISMUTASE,dismutase,dismutase,,सुपर ऑक्साइड डिस्म्यूटज़
DISNEY,disney,disney,,डिज़्नी
DISNEYLAND,disneyland,disneyland,,डिज़्नीलैण्ड
DISOBEDIENCE,disobedience,disobediense,,अवज्ञा
DISOBEDIENT,disobedient,disobedient,,अवज्ञाकारी
DISOBEDIENTLY,disobediently,disobediently,,अवज्ञापूर्ण ढंग से
DISOBEY,disobey,disobey,,आज्ङा का उल्लंघन 
DISORDER,disorder,disordxr,,अविन्यास
DISORDERED,disordered,disordxred,,अस्त व्यस्त
DISORDERLINESS,disorderliness,disordxrliness,,अस्तव्यस्तता
DISORDERLY,disorderly,disordxrly,,अस्त व्यस्त एवं गन्दा
DISORGANISATION,disorganisation,disorganisation,,अव्यवस्था
DISORGANISE,disorganise,disorganise,,अव्यवस्थित करना
DISORGANISED,disorganised,disorganised,,अव्यवस्थित
DISORGANIZATION,disorganization,disorganization,,अव्यवस्था
DISORGANIZE,disorganize,disorganize,,अव्यवस्थित करना
DISORGANIZED,disorganized,disorganized,,अव्यवस्थित
DISORIENTATION,disorientation,disorientation,,आत्मविस्मृति
DISOWN,disown,disown,,अंगीकार न करना
DISPARAGE,disparage,disparage,,उपेक्षा करना
DISPARAGEMENT,disparagement,disparagement,,निंदा
DISPARAGING,disparaging,disparaging,,अपमानजनक
DISPARAGINGLY,disparagingly,disparagingly,,अपमानजनक ढंग से
DISPARATE,disparate,disparate,,पृथक्
DISPARITY,disparity,disparity,,अन्तर
DISPASSIONATE,dispassionate,dispassionate,,निःसंग
DISPASSIONATELY,dispassionately,dispassionately,,निष्पक्ष रूप से
DISPATCH,dispatch,dispatc,,किसी विशेष कार्य हेतु कुछ भेजना
DISPATCHER,dispatcher,dispatcxr,,प्रेषणकर्मी
DISPEL,dispel,dispel,,दूर करना
DISPELLED,dispelled,dispelled,,दूर  कर देना
DISPENSABLE,dispensable,dispensable,,अनावश्यक
DISPENSARY,dispensary,dispensary,,चिकित्सालय
DISPENSATION,dispensation,dispensation,,वितरण
DISPENSE,dispense,dispense,,दवा तैयार करना
DISPENSER,dispenser,dispensxr,,दवा तैयार करने वाला
DISPERSAL,dispersal,dispxrsal,,बिखराव
DISPERSE,disperse,dispxrse,,छितरा देना
DISPERSION,dispersion,dispxrsion,,फैलाव
DISPERSIVE,dispersiwe,dispxrsiwe,,फैला हुआ
DISPIRIT,dispirit,dispirit,,मन तोड़ना
DISPIRITED,dispirited,dispirited,,उदासीन
DISPIRITING,dispiriting,dispiriting,,उदासीन
DISPLACE,displace,displase,,दूसरों का स्थान लेना
DISPLACED,displaced,displased,,विस्थापित
DISPLACEMENT,displacement,displasement,,जलापसारण
DISPLAY,display,display,,डिस्प्ले
DISPLEASE,displease,displease,,अप्रसन्न कर देना
