e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
desire	desire	dizayr	icCa	इच्छा	डिजायर	ইচ্ছা	icCa	ইচ্ছা	icCa		
desk	desk	desk	mez	मेज़	डेस्क	মেজ়	mez	মেজ়	mez		
desperate	desperate	desperet	bekrar	बेकरार	डेस्पेरेट	বেকরার	bekrar	বেকরার	bekrar		
despite	despite	qespije	iske bawzuq	इसके बावजूद	देस्पिते	ইসকে বা঵জূদ	iske bawzuq	ইসকে বা঵জূদ	iske bawzuq		
destroy	destroy	distray	nst krna	नष्ट करना	डिस्ट्रॉय	নষ্ট করনা	nst krna	নষ্ট করনা	nst krna		
destruction	destruction	distrkSn	winaS	विनाश	डिस्ट्रक्शन	঵িনাশ	winaS	঵িনাশ	winaS		
detail	detail	ditel	wiwrn	विवरण	डिटेल	঵ি঵রণ	wiwrn	঵ি঵রণ	wiwrn		
detailed	detailed	diteld	wisjrj	विस्तृत	डिटेल्ड	঵িস্তৃত	wisjrj	঵িস্তৃত	wisjrj		
detect	detect	ditekt	pja lgana	पता लगाना	डिटेक्ट	পতা লগানা	pja lgana	পতা লগানা	pja lgana		
determine	determine	detrmine	Tanna	ठानना	डेटर्मिने	ঠাননা	Tanna	ঠাননা	Tanna		
develop	dewelop	dewelop	wikas krna	विकास करना	डेवेलोप	঵িকাস করনা	wikas krna	঵িকাস করনা	wikas krna		
developing	deweloping	dewlpiNg	wiksij vona	विकसित होना	डेवलपिंग	঵িকসিত হোনা	wiksij vona	঵িকসিত হোনা	wiksij vona		
development	dewelopment	dewlpment	wikas	विकास	डेवलपमेंट	঵িকাস	wikas	঵িকাস	wikas		
device	dewice	diwais	upkrn	उपकरण	डिवाइस	উপকরণ	upkrn	উপকরণ	upkrn		
devote	dewote	qewoje	smrpij	समर्पित	देवोते	সমর্পিত	smrpij	সমর্পিত	smrpij		
dialogue	dialogue	daylag	warja	वार्ता	डायलाग	঵ার্তা	warja	঵ার্তা	warja		
die	die	qie	mrna	मरना	दिए	মরনা	mrna	মরনা	mrna		
diet	diet	dait	xavar	आहार	डाइट	আহার	xavar	আহার	xavar		
differ	differ	difr	xlg vona	अलग होना	डिफर	অলগ হোনা	xlg vona	অলগ হোনা	xlg vona		
difference	difference	difrens	xnjr	अंतर	डिफरेंस	অংতর	xnjr	অংতর	xnjr		
different	different	difrent	wiBinn	विभिन्न	डिफरेंट	঵িভিন্ন	wiBinn	঵িভিন্ন	wiBinn		
differently	differently	difrentli	xlg DNg se	अलग ढंग से	डिफरेंटली	অলগ ঢংগ সে	xlg DNg se	অলগ ঢংগ সে	xlg DNg se		
difficult	difficult	difiklt	kTin	कठिन	डिफिकल्ट	কঠিন	kTin	কঠিন	kTin		
difficulty	difficulty	difiklti	kTinai	कठिनाई	डिफीकल्टी	কঠিনাঈ	kTinai	কঠিনাঈ	kTinai		
dig	dig	qig	gdDa krna	गड्ढा करना	दिग	গড্ঢা করনা	gdDa krna	গড্ঢা করনা	gdDa krna		
digital	digital	dizitl	dizitl	डिजिटल	डिजिटल	ডিজিটল	dizitl	ডিজিটল	dizitl		
dimension	dimension	daymenSn	xayam	आयाम	डायमेंशन	আযাম	xayam	আযাম	xayam		
dining	dining	dainiNg	Bozn	भोजन	डाइनिंग	ভোজন	Bozn	ভোজন	Bozn		
dinner	dinner	dinr	raj ka Kana	रात का खाना	डिनर	রাত কা খানা	raj ka Kana	রাত কা খানা	raj ka Kana		
direct	direct	dayrekt	prjyS	प्रत्यक्ष	डायरेक्ट	প্রত্যক্ষ	prjyS	প্রত্যক্ষ	prjyS		
direction	direction	dayrekSn	qiSa	दिशा	डायरेक्शन	দিশা	qiSa	দিশা	qiSa		
directly	directly	dayrektli	siQe	सीधे	डायरेक्टली	সীধে	siQe	সীধে	siQe		
director	director	dayrektr	nirqeSk	निर्देशक	डायरेक्टर	নির্দেশক	nirqeSk	নির্দেশক	nirqeSk		
dirt	dirt	drt	gnQ	गंध	डर्ट	গংধ	gnQ	গংধ	gnQ		
dirty	dirty	drti	gnqa	गंदा	डर्टी	গংদা	gnqa	গংদা	gnqa		
disability	disability	disebiliti	wiklaNgja	विकलांगता	डिसेबिलिटी	঵িকলাংগতা	wiklaNgja	঵িকলাংগতা	wiklaNgja		
disagree	disagree	disagri	xsvmj	असहमत	डिसागरी	অসহমত	xsvmj	অসহমত	xsvmj		
disappear	disappear	disxppexr	gayb vona	गायब होना	डिसअप्पेअर	গাযব হোনা	gayb vona	গাযব হোনা	gayb vona		
disaster	disaster	dizastr	xapqa	आपदा	डिजास्टर	আপদা	xapqa	আপদা	xapqa		
discipline	discipline	disiplin	xnuSasn	अनुशासन	डिसिप्लिन	অনুশাসন	xnuSasn	অনুশাসন	xnuSasn		
discourse	discourse	diskors	prwcn	प्रवचन	डिस्कोर्स	প্র঵চন	prwcn	প্র঵চন	prwcn		
discover	discower	diskwr	Koz krna	खोज करना	डिस्कवर	খোজ করনা	Koz krna	খোজ করনা	Koz krna		
discovery	discowery	diskwri	Koz	खोज	डिस्कवरी	খোজ	Koz	খোজ	Koz		
discrimination	discrimination	diskrimineSn	BeqBaw	भेदभाव	डिस्क्रिमिनेशन	ভেদভা঵	BeqBaw	ভেদভা঵	BeqBaw		
discuss	discuss	disks	crca kre	चर्चा करें	डिसकस	চর্চা করেং	crca kre	চর্চা করেং	crca kre		
discussion	discussion	diskSn	bvs	बहस	डिस्कशन	বহস	bvs	বহস	bvs		
disease	disease	diziz	bimari	बीमारी	डिजीज	বীমারী	bimari	বীমারী	bimari		
dish	dish	diS	wynzn	व्यंजन	डिश	঵্যংজন	wynzn	঵্যংজন	wynzn		
dismiss	dismiss	dismis	nkar qena	नकार देना	डिसमिस	নকার দেনা	nkar qena	নকার দেনা	nkar qena		
disorder	disorder	disaordr	wikar	विकार	डिसऑर्डर	঵িকার	wikar	঵িকার	wikar		
display	display	disple	qiKana	दिखाना	डिस्प्ले	দিখানা	qiKana	দিখানা	qiKana		
dispute	dispute	dispyut	wiwaq	विवाद	डिस्प्यूट	঵ি঵াদ	wiwaq	঵ি঵াদ	wiwaq		
distance	distance	distens	quri	दूरी	डिस्टेंस	দূরী	quri	দূরী	quri		
distant	distant	distent	qursJ	दूरस्थ	डिस्टेंट	দূরস্থ	qursJ	দূরস্থ	qursJ		
distinct	distinct	distiNkt	xlg	अलग	डिस्टिंक्ट	অলগ	xlg	অলগ	xlg		
distinction	distinction	distiNkSn	Beq	भेद	डिस्टिंक्शन	ভেদ	Beq	ভেদ	Beq		
distinguish	distinguish	distiNguiS	xnjr krna	अंतर करना	डिस्टिंगुइश	অংতর করনা	xnjr krna	অংতর করনা	xnjr krna		
distribute	distribute	distribyut	banto	बांटो	डिस्ट्रीब्यूट	বাংটো	banto	বাংটো	banto		
distribution	distribution	distribyuSn	wijrn	वितरण	डिस्ट्रीब्यूशन	঵িতরণ	wijrn	঵িতরণ	wijrn		
district	district	distrikt	zila Seoni	जिला Seoni	डिस्ट्रिक्ट	জিলা Seoni	zila Seoni	জিলা Seoni	zila Seoni		
diverse	diwerse	qiwerse	wiwiQ	विविध	दिवेर्से	঵ি঵িধ	wiwiQ	঵ি঵িধ	wiwiQ		
diversity	diwersity	daiwrsiti	wiwiQja	विविधता	डाइवर्सिटी	঵ি঵িধতা	wiwiQja	঵ি঵িধতা	wiwiQja		
divide	diwide	diwaid	wiBazij krna	विभाजित करना	डिवाइड	঵িভাজিত করনা	wiBazij krna	঵িভাজিত করনা	wiBazij krna		
division	diwision	diwiज़n	wiBazn	विभाजन	डिवीज़न	঵িভাজন	wiBazn	঵িভাজন	wiBazn		
divorce	diworce	daiwors	jlak	तलाक	डाइवोर्स	তলাক	jlak	তলাক	jlak		
dna	dna	dienye	dienye	डीएनए	डीएनए	ডীএনএ	dienye	ডীএনএ	dienye		
do	do	qo	krna	करना	दो	করনা	krna	করনা	krna		
doctor	doctor	daktr	cikijsk	चिकित्सक	डॉक्टर	চিকিত্সক	cikijsk	চিকিত্সক	cikijsk		
document	document	dakyument	qsjawez	दस्तावेज़	डॉक्यूमेंट	দস্তা঵েজ়	qsjawez	দস্তা঵েজ়	qsjawez		
dog	dog	dag	kujja	कुत्ता	डॉग	কুত্তা	kujja	কুত্তা	kujja		
domestic	domestic	domestik	Grelu	घरेलू	डोमेस्टिक	ঘরেলূ	Grelu	ঘরেলূ	Grelu		
dominant	dominant	dominent	prBujw wala	प्रभुत्व वाला	डोमिनेंट	প্রভুত্঵ ঵ালা	prBujw wala	প্রভুত্঵ ঵ালা	prBujw wala		
dominate	dominate	dominaje	vawi vona	हावी होना	डोमिनाते	হা঵ী হোনা	vawi vona	হা঵ী হোনা	vawi vona		
door	door	qur	qwar	द्वार	दूर	দ্঵ার	qwar	দ্঵ার	qwar		
double	double	dbl	qovra	दोहरा	डबल	দোহরা	qovra	দোহরা	qovra		
doubt	doubt	daut	Sk	शक	डाउट	শক	Sk	শক	Sk		
down	down	daun	nice	नीचे	डाउन	নীচে	nice	নীচে	nice		
downtown	downtown	dauntaun	Svr	शहर	डाउनटाउन	শহর	Svr	শহর	Svr		
dozen	dozen	doज़en	qrzn	दर्जन	डोज़ेन	দর্জন	qrzn	দর্জন	qrzn		
draft	draft	draft	prarup	प्रारूप	ड्राफ्ट	প্রারূপ	prarup	প্রারূপ	prarup		
drag	drag	drxig	Kince	खींचें	ड्रैग	খীংচেং	Kince	খীংচেং	Kince		
drama	drama	drama	natk	नाटक	ड्रामा	নাটক	natk	নাটক	natk		
dramatic	dramatic	drametik	natkiy	नाटकीय	ड्रामेटिक	নাটকীয	natkiy	নাটকীয	natkiy		
dramatically	dramatically	drmxitiklly	natkiy rup se	नाटकीय रूप से	ड्रमैटिकल्ल्य	নাটকীয রূপ সে	natkiy rup se	নাটকীয রূপ সে	natkiy rup se		
draw	draw	dra	cijr bnana	चित्र बनाना	ड्रा	চিত্র বনানা	cijr bnana	চিত্র বনানা	cijr bnana		
drawing	drawing	draiNg	cijrkari	चित्रकारी	ड्राइंग	চিত্রকারী	cijrkari	চিত্রকারী	cijrkari		
dream	dream	drim	spna	सपना	ड्रीम	সপনা	spna	সপনা	spna		
dress	dress	dres	poSak	पोशाक	ड्रेस	পোশাক	poSak	পোশাক	poSak		
drink	drink	driNk	pina	पीना	ड्रिंक	পীনা	pina	পীনা	pina		
drive	driwe	draiw	clana	चलाना	ड्राइव	চলানা	clana	চলানা	clana		
driver	driwer	draiwr	calk	चालक	ड्राइवर	চালক	calk	চালক	calk		
drop	drop	drap	bunq	बूंद	ड्राप	বূংদ	bunq	বূংদ	bunq		
drug	drug	drg	qwa	दवा	ड्रग	দ঵া	qwa	দ঵া	qwa		
dry	dry	drai	suKa	सूखा	ड्राई	সূখা	suKa	সূখা	suKa		
due	due	qey	bkaya	बकाया	देय	বকাযা	bkaya	বকাযা	bkaya		
during	during	quriNg	qouran	दौरान	दूरिंग	দৌরান	qouran	দৌরান	qouran		
dust	dust	dst	Qul	धूल	डस्ट	ধূল	Qul	ধূল	Qul		
duty	duty	dyuti	krjwy	कर्तव्य	ड्यूटी	কর্ত঵্য	krjwy	কর্ত঵্য	krjwy		
each	each	ec	prjyek	प्रत्येक	एच	প্রত্যেক	prjyek	প্রত্যেক	prjyek		
eager	eager	exgr	xajur	आतुर	ेअगर	আতুর	xajur	আতুর	xajur		
ear	ear	exr	kan	कान	एअर	কান	kan	কান	kan		
early	early	xrli	zlqi	जल्दी	अर्ली	জল্দী	zlqi	জল্দী	zlqi		
earn	earn	irn	kmana	कमाना	ीर्ण	কমানা	kmana	কমানা	kmana		
earnings	earnings	exrniNgs	xay	आय	एअर्निंग्स	আয	xay	আয	xay		
earth	earth	exrJ	Qrji	धरती	एअर्थ	ধরতী	Qrji	ধরতী	Qrji		
ease	ease	exse	xaram	आराम	एअसे	আরাম	xaram	আরাম	xaram		
easily	easily	xisily	srlja	सरलता	ैसिलय	সরলতা	srlja	সরলতা	srlja		
east	east	ist	purw	पूर्व	ईस्ट	পূর্঵	purw	পূর্঵	purw		
eastern	eastern	istrn	purw ka	पूर्व का	ईस्टर्न	পূর্঵ কা	purw ka	পূর্঵ কা	purw ka		
easy	easy	izi	xasan	आसान	इजी	আসান	xasan	আসান	xasan		
eat	eat	baj	Kana Ka lo	खाना खा लो	बात	খানা খা লো	Kana Ka lo	খানা খা লো	Kana Ka lo		
economic	economic	iknomik	xarJik	आर्थिक	इकनोमिक	আর্থিক	xarJik	আর্থিক	xarJik		
economics	economics	ikonamiks	xrJSasjr	अर्थशास्त्र	इकोनॉमिक्स	অর্থশাস্ত্র	xrJSasjr	অর্থশাস্ত্র	xrJSasjr		
economist	economist	ikonamist	xrJSasjri	अर्थशास्त्री	इकोनॉमिस्ट	অর্থশাস্ত্রী	xrJSasjri	অর্থশাস্ত্রী	xrJSasjri		
economy	economy	ikanmi	xrJwywsJa	अर्थव्यवस्था	इकॉनमी	অর্থ঵্য঵স্থা	xrJwywsJa	অর্থ঵্য঵স্থা	xrJwywsJa		
edge	edge	ez	kinara	किनारा	एज	কিনারা	kinara	কিনারা	kinara		
edition	edition	ediSn	snskrn	संस्करण	एडिशन	সংস্করণ	snskrn	সংস্করণ	snskrn		
editor	editor	editr	smpaqk	संपादक	एडिटर	সংপাদক	smpaqk	সংপাদক	smpaqk		
educate	educate	edukaje	SiSij	शिक्षित	एडुकाते	শিক্ষিত	SiSij	শিক্ষিত	SiSij		
education	education	ezukeSn	SiSa	शिक्षा	एजुकेशन	শিক্ষা	SiSa	শিক্ষা	SiSa		
educational	educational	ezukeSnl	SiSajmk	शिक्षात्मक	एजुकेशनल	শিক্ষাত্মক	SiSajmk	শিক্ষাত্মক	SiSajmk		
educator	educator	edukajor	SiSk	शिक्षक	एडुकातोर	শিক্ষক	SiSk	শিক্ষক	SiSk		
effect	effect	iफ़ekt	prBaw	प्रभाव	इफ़ेक्ट	প্রভা঵	prBaw	প্রভা঵	prBaw		
effective	effectiwe	ifektiw	prBawi	प्रभावी	इफेक्टिव	প্রভা঵ী	prBawi	প্রভা঵ী	prBawi		
effectively	effectiwely	effektiweli	prBawi rup se	प्रभावी रूप से	एफ्फेक्टिवेली	প্রভা঵ী রূপ সে	prBawi rup se	প্রভা঵ী রূপ সে	prBawi rup se		
efficiency	efficiency	efiSiensi	Smja	क्षमता	एफिशिएंसी	ক্ষমতা	Smja	ক্ষমতা	Smja		
efficient	efficient	effisient	qS	दक्ष	एफ्फिसिएंट	দক্ষ	qS	দক্ষ	qS		
effort	effort	efrt	koSiS	कोशिश	एफर्ट	কোশিশ	koSiS	কোশিশ	koSiS		
egg	egg	eg	xnda	अंडा	एग	অংডা	xnda	অংডা	xnda		
eight	eight	xaT	xaT	आठ	आठ	আঠ	xaT	আঠ	xaT		
either	either	eJer	ya	या	ऐथेर	যা	ya	যা	ya		
elderly	elderly	eldrli	buzurg	बुज़ुर्ग	एल्डर्ली	বুজ়ুর্গ	buzurg	বুজ়ুর্গ	buzurg		
elect	elect	elekt	ilektronik	इलेक्ट्रोनिक	ेलेक्ट	ইলেক্ট্রোনিক	ilektronik	ইলেক্ট্রোনিক	ilektronik		
election	election	ilekSn	cunaw	चुनाव	इलेक्शन	চুনা঵	cunaw	চুনা঵	cunaw		
electric	electric	ilektrik	bizli	बिजली	इलेक्ट्रिक	বিজলী	bizli	বিজলী	bizli		
electricity	electricity	ilektrisiti	bizli	बिजली	इलेक्ट्रिसिटी	বিজলী	bizli	বিজলী	bizli		
electronic	electronic	ilektranik	ilektronik	इलेक्ट्रोनिक	इलेक्ट्रॉनिक	ইলেক্ট্রোনিক	ilektronik	ইলেক্ট্রোনিক	ilektronik		
element	element	eliment	jjw	तत्व	एलिमेंट	তত্঵	jjw	তত্঵	jjw		
elementary	elementary	elimentri	praJmik	प्राथमिक	एलीमेंट्री	প্রাথমিক	praJmik	প্রাথমিক	praJmik		
eliminate	eliminate	eliminet	vtana	हटाना	एलिमिनेट	হটানা	vtana	হটানা	vtana		
elite	elite	ilit	xBizaj wrg	अभिजात वर्ग	इलीट	অভিজাত ঵র্গ	xBizaj wrg	অভিজাত ঵র্গ	xBizaj wrg		
else	else	els	wrna	वरना	ेल्स	঵রনা	wrna	঵রনা	wrna		
elsewhere	elsewhere	elswvere	kvi	कहीं	एल्सव्हेरे	কহীং	kvi	কহীং	kvi		
e-mail	e-mail	i-mel	imel	ईमेल	इ-मेल	ঈমেল	imel	ঈমেল	imel		
embrace	embrace	embras	xpnana	अपनाना	एम्ब्रॉस	অপনানা	xpnana	অপনানা	xpnana		
emerge	emerge	imrz	uBrna	उभरना	इमर्ज	উভরনা	uBrna	উভরনা	uBrna		
emergency	emergency	imrzensi	xapajkalin	आपातकालीन	इमरजेंसी	আপাতকালীন	xapajkalin	আপাতকালীন	xapajkalin		
emission	emission	emiSn	ujsrzn	उत्सर्जन	एमिशन	উত্সর্জন	ujsrzn	উত্সর্জন	ujsrzn		
emotion	emotion	imoSn	Bawna	भावना	इमोशन	ভা঵না	Bawna	ভা঵না	Bawna		
emotional	emotional	imoSnl	Bawnajmk	भावनात्मक	इमोशनल	ভা঵নাত্মক	Bawnajmk	ভা঵নাত্মক	Bawnajmk		
emphasis	emphasis	emfesis	zor	ज़ोर	एम्फेसिस	জ়োর	zor	জ়োর	zor		
emphasize	emphasize	emfxisiज़e	zor qena	ज़ोर देना	एम्फैसिज़े	জ়োর দেনা	zor qena	জ়োর দেনা	zor qena		
employ	employ	emplay	kam	काम	एम्प्लॉय	কাম	kam	কাম	kam		
employee	employee	employi	krmcari	कर्मचारी	एम्प्लोयी	কর্মচারী	krmcari	কর্মচারী	krmcari		
employer	employer	emplayr	niyokja	नियोक्ता	एम्प्लायर	নিযোক্তা	niyokja	নিযোক্তা	niyokja		
employment	employment	emplayment	rozgar	रोज़गार	एम्प्लॉयमेंट	রোজ়গার	rozgar	রোজ়গার	rozgar		
empty	empty	empti	Kali	खाली	एम्प्टी	খালী	Kali	খালী	Kali		
enable	enable	inebl	sSm krna	सक्षम करना	इनेबल	সক্ষম করনা	sSm krna	সক্ষম করনা	sSm krna		
encounter	encounter	enkauntr	muTBeR	मुठभेड़	एनकाउंटर	মুঠভেড়	muTBeR	মুঠভেড়	muTBeR		
encourage	encourage	ensarge	projsavij krna	प्रोत्साहित करना	ेन्सॉरगे	প্রোত্সাহিত করনা	projsavij krna	প্রোত্সাহিত করনা	projsavij krna		
end	end	end	smapj	समाप्त	एन्ड	সমাপ্ত	smapj	সমাপ্ত	smapj		
enemy	enemy	enimi	Sjru	शत्रु	एनिमी	শত্রু	Sjru	শত্রু	Sjru		
energy	energy	enrzi	urza	ऊर्जा	एनर्जी	ঊর্জা	urza	ঊর্জা	urza		
enforcement	enforcement	enforsment	prwrjn	प्रवर्तन	एनफोर्समेंट	প্র঵র্তন	prwrjn	প্র঵র্তন	prwrjn		
engage	engage	iNgge	wysj rKna	व्यस्त रखना	इंगगे	঵্যস্ত রখনা	wysj rKna	঵্যস্ত রখনা	wysj rKna		
engine	engine	inzn	ynjr	यन्त्र	इंजन	যন্ত্র	ynjr	যন্ত্র	ynjr		
engineer	engineer	inziniyr	inziniyr	इंजीनियर	इंजीनियर	ইংজীনিযর	inziniyr	ইংজীনিযর	inziniyr		
engineering	engineering	inziniyriNg	xBiyanjriki	अभियांत्रिकी	इंजीनियरिंग	অভিযাংত্রিকী	xBiyanjriki	অভিযাংত্রিকী	xBiyanjriki		
english	english	iNgliS	xNgrezi	अंग्रेज़ी	इंग्लिश	অংগ্রেজ়ী	xNgrezi	অংগ্রেজ়ী	xNgrezi		
enhance	enhance	envans	bRana	बढ़ाना	एनहान्स	বঢ়ানা	bRana	বঢ়ানা	bRana		
enjoy	enzoy	enzay	ka xannq le	का आनंद लें	एन्जॉय	কা আনংদ লেং	ka xannq le	কা আনংদ লেং	ka xannq le		
enormous	enormous	enormaus	wiSal	विशाल	ेनोरमॉउस	঵িশাল	wiSal	঵িশাল	wiSal		
enough	enough	enf	pryapj	पर्याप्त	एनफ	পর্যাপ্ত	pryapj	পর্যাপ্ত	pryapj		
ensure	ensure	ensure	suniScij krna	सुनिश्चित करना	ेंसुरे	সুনিশ্চিত করনা	suniScij krna	সুনিশ্চিত করনা	suniScij krna		
enter	enter	entr	prweS krna	प्रवेश करना	एंटर	প্র঵েশ করনা	prweS krna	প্র঵েশ করনা	prweS krna		
enterprise	enterprise	entrpraiz	uqym	उद्यम	एंटरप्राइज	উদ্যম	uqym	উদ্যম	uqym		
entertainment	entertainment	entrtenment	mnornzn	मनोरंजन	एंटरटेनमेंट	মনোরংজন	mnornzn	মনোরংজন	mnornzn		
entire	entire	entire	smpurn	संपूर्ण	एंटीरे	সংপূর্ণ	smpurn	সংপূর্ণ	smpurn		
entirely	entirely	entirely	puri jrv se	पूरी तरह से	एंटीरेलय	পূরী তরহ সে	puri jrv se	পূরী তরহ সে	puri jrv se		
entrance	entrance	entrens	prweS	प्रवेश	एंट्रेंस	প্র঵েশ	prweS	প্র঵েশ	prweS		
entry	entry	entri	prweS	प्रवेश	एंट्री	প্র঵েশ	prweS	প্র঵েশ	prweS		
environment	enwironment	enwayrnment	wajawrn	वातावरण	एनवायरनमेंट	঵াতা঵রণ	wajawrn	঵াতা঵রণ	wajawrn		
environmental	enwironmental	enwayrnmentl	pryawrn	पर्यावरण	एनवायर्नमेंटल	পর্যা঵রণ	pryawrn	পর্যা঵রণ	pryawrn		
episode	episode	episod	prkrn	प्रकरण	एपिसोड	প্রকরণ	prkrn	প্রকরণ	prkrn		
equal	ekual	ikwl	brabr	बराबर	इक्वल	বরাবর	brabr	বরাবর	brabr		
equally	ekually	ekwali	sman rup se	समान रूप से	एक्वाली	সমান রূপ সে	sman rup se	সমান রূপ সে	sman rup se		
equipment	ekuipment	ikwipment	upkrn	उपकरण	इक्विपमेंट	উপকরণ	upkrn	উপকরণ	upkrn		
era	era	era	yug	युग	एरा	যুগ	yug	যুগ	yug		
error	error	err	glji	गलती	एरर	গলতী	glji	গলতী	glji		
escape	escape	eskep	bc niklna	बच निकलना	एस्केप	বচ নিকলনা	bc niklna	বচ নিকলনা	bc niklna		
especially	especially	espeSly	wiSeskr	विशेषकर	ेस्पेशलय	঵িশেষকর	wiSeskr	঵িশেষকর	wiSeskr		
essay	essay	esse	nibnQ	निबंध	एस्से	নিবংধ	nibnQ	নিবংধ	nibnQ		
essential	essential	esenSiyl	zruri	ज़रूरी	एसेंशियल	জ়রূরী	zruri	জ়রূরী	zruri		
essentially	essentially	esentixali	xniwary rup se	अनिवार्य रूप से	एसेंटिआली	অনি঵ার্য রূপ সে	xniwary rup se	অনি঵ার্য রূপ সে	xniwary rup se		
establish	establish	estbliS	sJapij krna	स्थापित करना	एस्टब्लिश	স্থাপিত করনা	sJapij krna	স্থাপিত করনা	sJapij krna		
establishment	establishment	istxibliSment	sJapna	स्थापना	इस्टैब्लिशमेंट	স্থাপনা	sJapna	স্থাপনা	sJapna		
estate	estate	estet	zagir	जागीर	एस्टेट	জাগীর	zagir	জাগীর	zagir		
estimate	estimate	estimet	xakln	आकलन	एस्टीमेट	আকলন	xakln	আকলন	xakln		
etc	etc	ets	xaqi	आदि	ेट्स	আদি	xaqi	আদি	xaqi		
ethics	ethics	eJiks	xacar wicar	आचार विचार	एथिक्स	আচার ঵িচার	xacar wicar	আচার ঵িচার	xacar wicar		
ethnic	ethnic	eJnik	snzaji wisyk	संजाति विषयक	एथनिक	সংজাতি ঵িষযক	snzaji wisyk	সংজাতি ঵িষযক	snzaji wisyk		
european	european	yuropiyn	yuropiy	यूरोपीय	यूरोपियन	যূরোপীয	yuropiy	যূরোপীয	yuropiy		
evaluate	ewaluate	ewluet	mulyaNkn krna	मूल्यांकन करना	ेवलुएट	মূল্যাংকন করনা	mulyaNkn krna	মূল্যাংকন করনা	mulyaNkn krna		
evaluation	ewaluation	iwxilyueSn	mulyaNkn	मूल्यांकन	इवैल्यूएशन	মূল্যাংকন	mulyaNkn	মূল্যাংকন	mulyaNkn		
even	ewen	iwn	yva jk ki	यहाँ तक की	इवन	যহাঁ তক কী	yva jk ki	যহাঁ তক কী	yva jk ki		
evening	ewening	iwniNg	Sam	शाम	इवनिंग	শাম	Sam	শাম	Sam		
event	ewent	iwent	prjisprQa	प्रतिस्पर्धा	इवेंट	প্রতিস্পর্ধা	prjisprQa	প্রতিস্পর্ধা	prjisprQa		
eventually	ewentually	ewenjuxlly	xaKirkar	आखिरकार	ेवेन्तुअल्ल्य	আখিরকার	xaKirkar	আখিরকার	xaKirkar		
ever	ewer	ewr	kBi	कभी	एवर	কভী	kBi	কভী	kBi		
every	ewery	ewri	vr ek	हर एक	एव्री	হর এক	vr ek	হর এক	vr ek		
everybody	ewerybody	ewribadi	vr koi	हर कोई	एवरीबॉडी	হর কোঈ	vr koi	হর কোঈ	vr koi		
everyday	eweryday	ewride	vr qin	हर दिन	एवरीडे	হর দিন	vr qin	হর দিন	vr qin		
everyone	eweryone	ewriwn	vr koi	हर कोई	एवरीवन	হর কোঈ	vr koi	হর কোঈ	vr koi		
everything	ewerything	ewriJiNg	vr ciz	हर चीज़	एवरीथिंग	হর চীজ়	vr ciz	হর চীজ়	vr ciz		
everywhere	ewerywhere	ewriwver	vr zgv	हर जगह	एवरीव्हेर	হর জগহ	vr zgv	হর জগহ	vr zgv		
evidence	ewidence	ewidens	prman	प्रमाण	एविडेंस	প্রমাণ	prman	প্রমাণ	prman		
evolution	ewolution	ewoluSn	krmagj unnji	क्रमागत उन्नति	ेवोलुशन	ক্রমাগত উন্নতি	krmagj unnji	ক্রমাগত উন্নতি	krmagj unnji		
evolve	ewolwe	iwalwe	wiksij vona	विकसित होना	इवॉल्वे	঵িকসিত হোনা	wiksij vona	঵িকসিত হোনা	wiksij vona		
exact	exact	eksyekt	stik	सटीक	एक्सएक्ट	সটীক	stik	সটীক	stik		
exactly	exactly	eksaktli	bilkul	बिल्कुल	एक्साक्ट्ली	বিল্কুল	bilkul	বিল্কুল	bilkul		
examination	examination	egzamineSn	injivan	इंतिहान	एग्जामिनेशन	ইংতিহান	injivan	ইংতিহান	injivan		
examine	examine	eksamine	ki zanc	की जांच	एक्सामिने	কী জাংচ	ki zanc	কী জাংচ	ki zanc		
example	example	eksample	uqavrn	उदाहरण	एक्साम्प्ले	উদাহরণ	uqavrn	উদাহরণ	uqavrn		
exceed	exceed	ekssid	sima par krna	सीमा पार करना	एक्ससीड	সীমা পার করনা	sima par krna	সীমা পার করনা	sima par krna		
excellent	excellent	eksilent	xji ujkrst	अति उत्कृष्ट	एक्सीलेंट	অতি উত্কৃষ্ট	xji ujkrst	অতি উত্কৃষ্ট	xji ujkrst		
except	except	eksept	ke xlawa	के अलावा	एक्सेप्ट	কে অলা঵া	ke xlawa	কে অলা঵া	ke xlawa		
exception	exception	eksepSn	xpwaq	अपवाद	एक्सेप्शन	অপ঵াদ	xpwaq	অপ঵াদ	xpwaq		
exchange	exchange	ekscenz	len qen	लेन देन	एक्सचेंज	লেন দেন	len qen	লেন দেন	len qen		
exciting	exciting	ekssitiNg	romanck	रोमांचक	एक्ससिटिंग	রোমাংচক	romanck	রোমাংচক	romanck		
executive	executiwe	egzikyutiw	karypalk	कार्यपालक	एग्जीक्यूटिव	কার্যপালক	karypalk	কার্যপালক	karypalk		
exercise	exercise	eksrsaiz	wyayam	व्यायाम	एक्सरसाइज	঵্যাযাম	wyayam	঵্যাযাম	wyayam		
exhibit	exhibit	eksvibij	qiKana	दिखाना	एक्सहिबित	দিখানা	qiKana	দিখানা	qiKana		
exhibition	exhibition	eksvibiSn	prqrSni	प्रदर्शनी	एक्सहिबिशन	প্রদর্শনী	prqrSni	প্রদর্শনী	prqrSni		
